--Departing airports with the highest proportion of delayed flights, where flights per day > 2
origin  delay_proportion        flights_per_year
MDW     0.43145711013760385     88020.8
HOU     0.4275929938605995      55380.0
DAL     0.40123578493207585     52242.1
BWI     0.38164739669728404     100977.5
EWR     0.37272598686536923     121602.2
DEN     0.36332175466497624     232525.3
DFW     0.36293714111641917     266555.8
ORD     0.36244794305991607     312974.6
MIA     0.35827109688213643     72559.3
TTN     0.3562427297402094      1031.6
ACV     0.3541397902814991      3023.1
OAK     0.35152650279567016     50828.6
LAS     0.34971127986078154     151704.0
IAH     0.34878006427756064     175644.5
STL     0.3474187897117656      57366.5
MOD     0.34479063002373117     1306.3
CIC     0.3410695290590852      1034.1
BNA     0.3403166961975526      55422.2
FLL     0.3363959027276327      68689.6
SFO     0.3360658500882314      154253.4
ISP     0.331645604738587       7208.9
IAD     0.32484088841733616     66729.9
BQN     0.3236278447121821      1494.0
PBI     0.3229471351945868      25094.2
ABQ     0.32264375472930584     30924.2


--Departing airports with the highest proportion of long delayed flights, where flights per day > 2 and delay > 1 hour
